,datetime,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
362,2011-06-26,2011_1729,673181.56729,-1096105.64112,-13.44353,78.16665,0.01772340575066902,-0.06263000754447054,164.19923769869018,0.06508945349611782,0.7039999961853027,2.180000066757202
364,2011-04-29,2011_173,743576.50664,-1985859.4348,-24.47231,70.60565,-0.00012311094480400002,0.0007104951658231891,350.1696890590623,0.0007210823013974579,0.4909999966621399,-0.6060000061988831
365,2011-04-30,2011_173,743545.01937,-1985805.6758,-24.4726,70.6062,0.00030606844893564164,-0.000278076850983205,132.25654806545026,0.0004135270613715686,3.311000108718872,0.28700000047683716
366,2011-05-01,2011_173,743578.20938,-1985818.90327,-24.47188,70.60598,0.00013129692939821923,-0.00012437740110333084,133.44973481131166,0.00018085525033744476,1.7109999656677246,0.546999990940094
367,2011-05-02,2011_173,743592.60143,-1985824.98911,-24.47158,70.60589,0.00013634500179138492,-0.00012934473062755256,133.4907462634377,0.00018793620953559453,2.131999969482422,0.9729999899864197
368,2011-05-03,2011_173,743607.55247,-1985831.32385,-24.47126,70.60579,0.0009179824398874768,0.004487830693794966,11.560339982176913,0.004580754970101541,0.9549999833106995,1.4270000457763672
369,2011-05-04,2011_173,743545.85486,-1985440.38521,-24.46911,70.60927,0.0009713558477150283,0.004753709684506477,11.548632519666626,0.0048519365151927585,-0.45100000500679016,0.8920000195503235
371,2011-06-18,2011_1731,760614.88128,-1591615.16962,-19.45736,73.82053,0.10235224881463244,-0.035629562185684284,109.19337875982222,0.10837642058564202,0.6610000133514404,0.9139999747276306
372,2011-06-19,2011_1731,769921.16979,-1590579.65154,-19.17067,73.79244,0.23407032698608074,-0.13367944569083984,119.73103493120391,0.26955354231688544,-0.7269999980926514,-0.17399999499320984
374,2011-06-20,2011_1737,745320.94744,-891658.27105,-5.10836,79.30238,0.002499358763559934,0.042107986826423735,3.396858892395244,0.04218209749174712,1.805999994277954,-2.7170000076293945
375,2011-06-21,2011_1737,743153.36301,-888728.39048,-5.09768,79.33569,-0.004115717490376866,0.007723835802865054,331.94866407768393,0.008751958064925477,2.0829999446868896,-2.7269999980926514
376,2011-06-22,2011_1737,742452.48452,-888444.55749,-5.11528,79.3418,-0.036103411329484844,-0.008736912512842332,256.3961348873665,0.03714552395488635,-1.7059999704360962,-4.269000053405762
377,2011-06-23,2011_1737,740542.96226,-891024.05386,-5.26954,79.33485,-0.07140526193191105,-0.026936543687786276,249.33178328198474,0.07631702835808561,-1.2829999923706055,-3.308000087738037
378,2011-06-24,2011_1737,737285.88028,-896757.24669,-5.57402,79.31339,-0.09607561889847402,-0.015789946504432405,260.66692119582945,0.09736450563392009,-1.9950000047683716,0.6269999742507935
379,2011-06-25,2011_1737,731740.26971,-903082.82032,-5.98322,79.30063,-0.05903831142890706,-0.02234774615388975,249.26686418934358,0.06312641265377997,0.2680000066757202,1.5980000495910645
381,2011-06-20,2011_1739,847895.80768,-1168050.21537,-9.02384,76.73374,-0.003790061549720272,-0.02300769556020372,189.35433394654876,0.02331777479824535,2.7639999389648438,-1.3619999885559082
382,2011-06-21,2011_1739,848798.57424,-1169851.28458,-9.03682,76.71563,-0.01841649664584161,-0.021284460782094915,220.8681778803482,0.02814596986232366,-0.37700000405311584,-2.4649999141693115
383,2011-06-22,2011_1739,848590.64494,-1172274.19069,-9.09981,76.69886,-0.014104893838615806,-0.04414842612874656,197.7180588827539,0.04634686138072366,-0.824999988079071,-5.159999847412109
384,2011-06-23,2011_1739,849840.16214,-1176078.61922,-9.14794,76.6641,-0.04622126227269609,-0.052298751222624076,221.47001900679334,0.06979659350947783,-1.6670000553131104,-3.694000005722046
385,2011-06-24,2011_1739,849249.81453,-1182080.07934,-9.30514,76.62289,-0.00442741622272339,-0.03578119065704464,187.0536894314405,0.03605406522495089,-1.2400000095367432,-0.09200000017881393
386,2011-06-25,2011_1739,850742.93848,-1184813.98674,-9.32017,76.59472,0.021688890789673565,-0.00493314120738662,102.81393133345267,0.022242838529702155,0.3630000054836273,2.8570001125335693
387,2011-06-26,2011_1739,852513.70008,-1184067.2294,-9.24658,76.59083,0.014470701176983326,-0.040728260278857835,160.43993623122748,0.043222591059490355,2.3350000381469727,4.160999774932861
388,2011-06-27,2011_1739,855584.44116,-1186192.44247,-9.1976,76.55877,-0.0025158018048666592,-0.030617918046871605,184.6973061402473,0.030721102913898065,2.171999931335449,2.2839999198913574
389,2011-06-28,2011_1739,856955.67925,-1188465.11316,-9.2061,76.53467,-0.014355146287141345,-0.05016997622545141,195.9674261211149,0.05218329942987112,1.6109999418258667,-0.8240000009536743
390,2011-06-29,2011_1739,858484.88537,-1192706.497,-9.25446,76.49518,-0.01368550839181665,-0.03811099644278627,199.75301297642892,0.04049371790543011,4.166999816894531,0.10199999809265137
392,2011-06-20,2011_1741,793306.65914,-1078064.73598,-8.65207,77.69018,-0.018464502773551446,-0.019967578447331186,222.7603080380584,0.027196361001516615,2.427000045776367,-1.2419999837875366
393,2011-06-21,2011_1741,793044.22889,-1080399.80101,-8.72026,77.67442,-0.01185276197953313,-0.01715476661491773,214.6418015537164,0.02085123459548048,0.3009999990463257,-2.9739999771118164
394,2011-06-22,2011_1741,793095.72312,-1082200.61159,-8.764,77.66089,-0.02324974919458355,-0.03461763113313625,213.88593454449102,0.041700494276218386,-1.0329999923706055,-4.3460001945495605
395,2011-06-23,2011_1741,793243.46038,-1085800.50405,-8.84959,77.63357,-0.0732809116766596,-0.048852724971842676,236.31059076809066,0.08807202026374146,-1.4639999866485596,-3.0889999866485596
396,2011-06-24,2011_1741,790620.90369,-1092943.71817,-9.11849,77.59491,-0.07265017868769012,-0.03570181492668356,243.82953446303497,0.08094855188582727,-1.218000054359436,1.0490000247955322
397,2011-06-25,2011_1741,787343.04026,-1099121.98785,-9.38452,77.56662,-0.05564613456239091,-0.02381599351742695,246.82955567526108,0.06052845478746206,0.10999999940395355,3.61299991607666
398,2011-06-26,2011_1741,784632.83634,-1103594.58471,-9.58795,77.54776,-0.0649561127661983,-0.040015714773141545,238.36517273172328,0.07629255543302038,2.065999984741211,3.4230000972747803
400,2011-06-20,2011_1742,870543.77967,-1205770.02368,-9.17141,76.33445,-0.037466115898162775,-0.0229481099664606,238.5124038835756,0.04393547076710723,2.5,-1.5709999799728394
401,2011-06-21,2011_1742,869079.86028,-1209272.41477,-9.29595,76.31637,-0.023335460290690526,-0.018815977115557304,231.1198814660723,0.029976402415759808,-0.49399998784065247,-1.9329999685287476
402,2011-06-22,2011_1742,868391.39014,-1211769.19424,-9.37344,76.30155,-0.01577729815185361,-0.03879925883293458,202.1285845204781,0.04188443174924945,-0.6869999766349792,-5.293000221252441
403,2011-06-23,2011_1742,869236.06123,-1215288.05088,-9.42571,76.27103,-0.0767976123516893,-0.0806366387308705,223.60312209676715,0.11135591932507793,-1.6069999933242798,-3.953000068664551
404,2011-06-24,2011_1742,867892.26074,-1224814.8948,-9.67897,76.20747,-0.023368578677086152,-0.05464191427960321,203.15482840084456,0.059429195396931554,-1.034999966621399,-0.17499999701976776
406,2011-06-20,2011_1744,665720.4057,-1277654.37979,-17.47828,76.75802,0.001393455330723943,0.0619633204747916,1.288272705718498,0.06197898677794314,1.9739999771118164,0.3919999897480011
407,2011-06-21,2011_1744,663353.34448,-1272850.95604,-17.47348,76.80682,-0.0006710968110231474,0.055420978901932656,359.3062349945858,0.05542504193393299,0.8930000066757202,-2.5980000495910645
409,2011-06-20,2011_1746,799419.87967,-1310405.45166,-13.6145,75.89927,-0.04405248733493226,-0.05136580759028257,220.61714282419368,0.0676688098742419,2.2850000858306885,1.2109999656677246
410,2011-06-21,2011_1746,798481.93377,-1316176.31084,-13.75614,75.85885,-0.06388855876642502,-0.030565302880158768,244.43280581024166,0.07082362375229599,0.4009999930858612,-3.1429998874664307
412,2011-06-20,2011_1747,717184.06717,-1029470.22534,-10.13686,78.45603,-0.06245459287791716,-0.0025295057715888844,267.68070161410606,0.06250579629918239,1.8420000076293945,-0.5019999742507935
413,2011-06-21,2011_1747,712881.40579,-1032734.04426,-10.38319,78.45381,-0.06607221192615866,-0.0029799806741500866,267.4176029581911,0.06613937914460288,1.3930000066757202,-2.0230000019073486
414,2011-06-22,2011_1747,708329.63057,-1036188.92397,-10.64383,78.45144,-0.05213756446367316,-0.03313826227040595,237.56025292964668,0.061777585372899485,-1.2949999570846558,-1.8639999628067017
415,2011-06-23,2011_1747,706226.58301,-1041094.73555,-10.84898,78.42521,-0.047945972408988444,-0.05872360809281297,219.2305528914933,0.07581080673414424,-1.1440000534057617,-1.2239999771118164
416,2011-06-24,2011_1747,705646.64952,-1047619.06545,-11.0369,78.37877,-0.027783135742652988,-0.0708112520794868,201.4227989254698,0.07606665532780645,-1.4359999895095825,2.638000011444092
417,2011-06-25,2011_1747,707073.63748,-1054034.43602,-11.14526,78.32283,-0.018599210807920735,-0.07224697433065634,194.43670371309307,0.07460265372365779,-0.5600000023841858,3.559000015258789
418,2011-06-26,2011_1747,709216.55137,-1060113.46329,-11.21743,78.26578,-0.006344831177054894,-0.10031730319787817,183.6190014641669,0.10051775068892234,1.0800000429153442,2.13100004196167
