,date,floe_id,x,y,longitude,latitude,u,v,bearing,speed,u_wind,v_wind
980,2008-04-21 12:00:00,2008_1376,798081.103,-1775070.72797,-20.79008,72.1732,-0.04975203033092898,-0.1780822454476229,195.60912502800184,0.18490146204321126,0.4180000126361847,-0.9570000171661377
982,2008-04-17 12:00:00,2008_1377,757662.25,-878355.95,-4.21923,79.32164,-0.02352574736469487,-0.29930549066969275,184.49427234127938,0.3002286420948091,4.75600004196167,-4.464000225067139
983,2008-04-18 12:00:00,2008_1377,773014.0,-899265.15,-4.31743,79.08492,-0.024083842890850804,-0.19914337874601135,186.89570294078737,0.2005944086627753,1.4910000562667847,-1.7710000276565552
985,2008-04-17 12:00:00,2008_1385,789829.9,-1018706.35,-7.21264,78.14142,-0.007446976872137412,-0.17591268538386862,182.424076075318,0.17607024264053847,3.0309998989105225,-2.48799991607666
986,2008-04-18 12:00:00,2008_1385,798634.25,-1031112.1,-7.2409,78.00257,-0.02878186133349614,-0.13402358953954152,192.1203091429462,0.1370792402039204,-0.46000000834465027,0.3319999873638153
987,2008-04-19 12:00:00,2008_1385,803758.95084,-1041789.61845,-7.34821,77.89677,-0.02942588738486475,-0.138295182757786,192.01202552349662,0.141391090321831,-0.27000001072883606,-3.749000072479248
988,2008-04-20 12:00:00,2008_1385,809044.85,-1052803.0,-7.4589,77.78764,-0.01550564489614896,-0.10044409708744227,188.77553009269104,0.1016338608110358,-0.02500000037252903,-1.569000005722046
989,2008-04-21 12:00:00,2008_1385,813270.58472,-1060500.53434,-7.51633,77.7084,-0.04758766380060883,-0.10210479217970943,204.98866822258964,0.11264978620512969,-1.1109999418258667,-0.28999999165534973
991,2008-04-17 12:00:00,2008_1398,793679.6,-1687775.1,-19.81465,72.90576,-0.027301657312448303,-0.11928433005059402,192.8917384866785,0.12236883544279323,-1.8760000467300415,-2.0
992,2008-04-18 12:00:00,2008_1398,795930.74744,-1698105.32898,-19.88671,72.81265,-0.04713429561147533,-0.11933778924741394,201.552304176041,0.1283088062653929,0.08900000154972076,0.40799999237060547
994,2008-04-18 12:00:00,2008_1409,774774.8,-872229.25,-3.38626,79.26066,-0.0534023733168177,-0.18022369088224136,196.5051683597758,0.18796912573900654,1.8420000076293945,-2.315000057220459
995,2008-04-19 12:00:00,2008_1409,781666.2181,-886935.14172,-3.60982,79.11805,-0.049044007480398194,-0.2118038566961491,193.0372941090563,0.21740788481814594,1.097000002861023,-5.285999774932861
996,2008-04-20 12:00:00,2008_1409,790586.75,-903465.85,-3.8121,78.95054,-0.005431370904101077,-0.21251405392084938,181.46402975960348,0.21258344927056666,3.1740000247955322,-5.4670000076293945
998,2008-04-18 12:00:00,2008_1410,786010.4,-1638961.0,-19.37862,73.33413,-0.03517095429501589,-0.16007647769620698,192.39175713026566,0.16389470625266195,-0.2680000066757202,-0.7879999876022339
999,2008-04-19 12:00:00,2008_1410,789251.08877,-1652745.69335,-19.47367,73.20903,-0.02664193720453594,-0.14007946814117622,190.76856171194504,0.14259049832553794,-1.159999966621399,-1.0089999437332153
1000,2008-04-20 12:00:00,2008_1410,792389.35,-1664659.1,-19.54523,73.09959,-0.00888645336873791,-0.12522177530073159,184.0592310627344,0.12553669608103307,-0.14499999582767487,-1.9819999933242798
1002,2008-04-18 12:00:00,2008_1412,664663.25,-722959.85,-2.40575,80.95238,0.005053090857888201,-0.10724210845598589,177.30230216160243,0.10736108956835112,2.246999979019165,-3.2090001106262207
1003,2008-04-19 12:00:00,2008_1412,671255.71481,-729485.45719,-2.38046,80.86736,0.01006196906113603,-0.1766382848669209,176.73974411025824,0.17692463622151314,2.494999885559082,-6.60099983215332
