datetime,buoy,longitude,latitude,u,v,speed,depth,u_wind,v_wind
2020-07-22 16:00:00,2019P144,-1.33087,80.05437,0.10610720561466377,0.1684007897831236,0.1990416164598055,-2788.3721141464875,4.031000137329102,-2.240999937057495
2020-07-22 17:00:00,2019P144,-1.29377,80.06009,0.08543641780106392,0.1572745012756922,0.17898226235634543,-2759.0774030556595,3.752000093460083,-3.0759999752044678
2020-07-22 18:00:00,2019P144,-1.29824,80.06475,-0.1270510552596867,0.10688376105269892,0.1660304460614691,-2767.218320716194,3.4019999504089355,-3.440999984741211
2020-07-22 19:00:00,2019P144,-1.34236,80.06714,-0.13162141885531298,0.022991356145978935,0.13361437182772287,-2811.0852881075416,3.4769999980926514,-3.312000036239624
2020-07-22 20:00:00,2019P144,-1.34857,80.06627,0.029960410248712956,-0.07591810337067953,0.08161608053363238,-2817.8713848094426,3.3529999256134033,-3.3420000076293945
2020-07-22 21:00:00,2019P144,-1.33091,80.06213,0.03274984514013722,-0.15412916017478,0.1575701442941713,-2801.7211955462617,3.138000011444092,-3.8350000381469727
2020-07-22 22:00:00,2019P144,-1.33604,80.0561,-0.07082973558518502,-0.1812403917915164,0.1945891339715802,-2796.0422681085884,2.6059999465942383,-4.729000091552734
2020-07-22 23:00:00,2019P144,-1.35796,80.05017,-0.15512852552576956,-0.14379870157959374,0.21152523728334732,-2800.0058056292187,1.7890000343322754,-4.636000156402588
2020-07-23 00:00:00,2019P144,-1.39527,80.04661,-0.2142023926355029,-0.052422635388399766,0.22052391641688038,-2810.862482238867,1.1130000352859497,-4.521999835968018
2020-07-23 01:00:00,2019P144,-1.43973,80.04671,-0.2140179679265118,0.05742363219012983,0.22158782486702816,-2819.0580589164506,0.800000011920929,-3.8410000801086426
2020-07-23 02:00:00,2019P144,-1.47697,80.0504,-0.1546784065797187,0.15273999573055502,0.21738195821597234,-2826.723984831361,1.0470000505447388,-3.5480000972747803
2020-07-23 03:00:00,2019P144,-1.49879,80.05679,-0.07024974235802486,0.2103372132780043,0.22175835855932363,-2833.7076176962264,0.9020000100135803,-3.5899999141693115
2020-07-23 04:00:00,2019P144,-1.5038,80.06428,-0.003888064049068357,0.23413769611724308,0.23416997626753974,-2838.6053912751895,0.2290000021457672,-3.7090001106262207
2020-07-23 05:00:00,2019P144,-1.50027,80.07224,0.034822259814353856,0.23534967359570752,0.23791187158312305,-2838.2272791661044,-0.09099999815225601,-3.809000015258789
2020-07-23 06:00:00,2019P144,-1.49047,80.07981,0.07263691126639363,0.201405122846089,0.214103116247686,-2837.4816415646183,-0.1550000011920929,-3.805000066757202
2020-07-23 07:00:00,2019P144,-1.47245,80.08553,0.10163168380981118,0.13638969426645345,0.17009158667057603,-2845.9987873223627,-0.6940000057220459,-3.8429999351501465
2020-07-23 08:00:00,2019P144,-1.45153,80.08881,0.11065664931872113,0.057737502569363955,0.1248139144542536,-2855.8083272176395,-1.2979999780654907,-3.9570000171661377
2020-07-23 09:00:00,2019P144,-1.43004,80.08934,0.0847408220017029,-0.027285047061610217,0.08902516895057587,-2856.3043704179654,-1.4639999866485596,-4.099999904632568
2020-07-23 10:00:00,2019P144,-1.41905,80.08701,0.011884104243681713,-0.1036557839438205,0.10433481431757421,-2853.616723460246,-1.0800000429153442,-4.863999843597412
2020-07-23 11:00:00,2019P144,-1.42548,80.0825,-0.06773257698954299,-0.1366828384095201,0.15254474852097452,-2854.4399002289806,-1.8029999732971191,-4.9120001792907715
