datetime,divergence_area_weighted,divergence,maximum_shear,total_deformation,length_scale_km,drift_speed,shape_factor,flag,div_area_wt_stdev,max_shear_stdev
2020-05-13 07:00:00,-8.719836776250017e-09,-8.719836776250017e-09,4.0365380510625e-06,4.59778874073384e-06,7.504929992533079,0.510016875,1.0,0.0,2.7773520112427037e-06,3.4112705397362603e-06
2020-05-13 08:00:00,-3.293314560625e-07,-3.2933145606249995e-07,3.9650195291e-06,4.546572936887898e-06,7.502762693949938,0.48519525,1.0,0.0,2.8438822458464445e-06,3.372495632345563e-06
2020-05-13 09:00:00,-4.81313264835e-07,-4.81313264835e-07,4.1245792715e-06,4.7217392804353845e-06,7.496405986258891,0.465163625,1.0,0.0,3.2192311469382543e-06,3.986564887113293e-06
2020-05-13 10:00:00,-4.821583572625e-07,-4.821583572625e-07,4.0831693504999994e-06,4.635826648549655e-06,7.4913019863456425,0.45499262500000004,1.0,0.0,3.3162807840933224e-06,4.073339095134039e-06
2020-05-13 11:00:00,-2.648865075742499e-07,-2.6488650757425e-07,3.526495588775e-06,4.0605649095655506e-06,7.4852236499514575,0.442133,1.0,0.0,2.998525385794458e-06,3.5098980257572123e-06
2020-05-13 12:00:00,-8.208076447499997e-08,-8.208076447499998e-08,3.7542965840875e-06,4.375909176623662e-06,7.483101562573547,0.422457875,1.0,0.0,3.114530383495466e-06,4.209601100538372e-06
2020-05-13 13:00:00,2.59928579725e-07,2.59928579725e-07,4.2239153731875e-06,4.893487570515773e-06,7.482246500204226,0.407009375,1.0,0.0,4.053843794108338e-06,6.909573613503443e-06
2020-05-13 14:00:00,6.1056564195e-07,6.1056564195e-07,4.6376741300125e-06,5.3778306254687735e-06,7.49073369868867,0.38196287500000004,1.0,0.0,4.535766299473524e-06,9.178617528440283e-06
2020-05-13 15:00:00,5.1996753907125e-07,5.1996753907125e-07,4.2743284320125e-06,4.865519224665869e-06,7.497779492252754,0.324966625,1.0,0.0,3.59989965331803e-06,6.064735798758474e-06
2020-05-13 16:00:00,4.4013882920237503e-07,4.4013882920237503e-07,4.7032882750875005e-06,5.449478491747473e-06,7.504804551945027,0.256644,1.0,0.0,4.178160516765566e-06,5.800340645242798e-06
2020-05-13 17:00:00,3.5160262737637496e-07,3.5160262737637496e-07,5.437973886712499e-06,6.257942296994139e-06,7.509612715646523,0.20469474999999998,1.0,0.0,4.798938393528559e-06,7.827134714886324e-06
2020-05-13 18:00:00,1.8188114829249995e-07,1.8188114829249995e-07,3.37431426805e-06,3.98695675642877e-06,7.513342827697731,0.159487625,1.0,0.0,2.989221444252459e-06,3.5390033779259876e-06
2020-05-13 19:00:00,-6.207960001749994e-08,-6.207960001749995e-08,4.33354469215e-06,4.815444421112472e-06,7.51502669450313,0.11786937500000001,1.0,0.0,2.6999938700752754e-06,4.103142086465036e-06
2020-05-13 20:00:00,-7.300989635312498e-08,-7.3009896353125e-08,3.585442945375e-06,3.916834167337207e-06,7.51345467301508,0.100016375,1.0,0.0,1.740993933089556e-06,3.307301184151675e-06
2020-05-13 21:00:00,-1.2874296737e-07,-1.2874296737000002e-07,2.1392576198e-06,2.4596528757294967e-06,7.51299066870737,0.113549875,1.0,0.0,1.6740101561379429e-06,2.9584957141455538e-06
2020-05-13 22:00:00,-1.6065942885125003e-07,-1.6065942885125003e-07,2.3551843106625e-06,2.758527932050365e-06,7.510174112911777,0.138553125,1.0,0.0,2.316995907043353e-06,3.2642429383557315e-06
2020-05-13 23:00:00,-7.126351832437497e-08,-7.126351832437497e-08,1.7149152271999999e-06,2.0140802754433197e-06,7.509853533712371,0.156721375,1.0,0.0,2.010532718509764e-06,2.808204906968548e-06
2020-05-14 00:00:00,-1.14742179455e-07,-1.14742179455e-07,1.3283889118625002e-06,1.5494699288243747e-06,7.509611614342854,0.16084575,1.0,0.0,1.53290243309458e-06,2.422547081314182e-06
2020-05-14 01:00:00,-2.6818141801375e-07,-2.6818141801375e-07,1.471708530725e-06,1.7084338331762106e-06,7.5083560846455555,0.154748375,1.0,0.0,1.6583891929239334e-06,3.3273386177948537e-06
2020-05-14 02:00:00,-3.763502343925e-07,-3.763502343925e-07,1.8293019081874998e-06,2.0537218572508762e-06,7.504274970561939,0.14158725,1.0,0.0,1.7065931326580084e-06,3.524546942158544e-06
2020-05-14 03:00:00,-1.96250509188625e-07,-1.9625050918862505e-07,1.98746666675375e-06,2.198596862093016e-06,7.500215812769191,0.121349,1.0,0.0,1.440219114455169e-06,3.7073376888268282e-06
2020-05-14 04:00:00,2.811465652124999e-08,2.8114656521249994e-08,2.200461880165e-06,2.4420031774611667e-06,7.500107874965524,0.10268787500000001,1.0,0.0,1.5347106467838714e-06,3.3710723955017507e-06
2020-05-14 05:00:00,5.948769793500001e-08,5.948769793500001e-08,1.472220471225e-06,1.6700648164967407e-06,7.500667904023527,0.08950725000000001,1.0,0.0,1.2675765199430458e-06,1.779187473870625e-06
2020-05-14 06:00:00,4.5949904669999985e-08,4.5949904669999985e-08,1.105891136475e-06,1.2549774610122834e-06,7.500036776586432,0.08173087500000001,1.0,0.0,7.666010336495329e-07,1.2843993204187163e-06
2020-05-14 07:00:00,3.2111432235e-08,3.2111432235e-08,1.37771047134375e-06,1.5793107678902202e-06,7.5008627735901525,0.077931,1.0,0.0,1.0716123395433712e-06,1.5659933369230964e-06
