frequency,2019P144,2019O3,2019T69,2019P151,2019V2,2019V3,2019P191,2019P142,2019P195,2020R11,2019P209,2019P194,2019P182,2020T73,2019S93,2020P228,2020P216,2020P160,2020P217,2020T75,2020P213,2020E1,2019S81,2020T74,2020P210,2019S96,2020E3,2019P139,2019P105,2020P226,2020P186,2020P227,2020P225,2019F2,2020P218,2019P102,2019P159,ASFS30UCB3,2020M26,2019P199,2019T62,2019T63,2019P205,2019P201,2019T66,2019P200,2019T65
0.6457399103139014,2.734532922331312e-05,0.000153855714671849,0.0002538591842502559,0.00011815850256300394,0.0001042859783746487,5.223084172717942e-05,4.7955390066516336e-05,0.00010209232903639268,2.9365344330950177e-05,9.217697343453315e-05,0.00017901667419000075,1.800508109811243e-05,6.630829613948928e-05,6.263246777037428e-05,7.986389085769159e-06,0.00010430279022069348,8.435941633281418e-05,0.0002870086851640238,2.7167335324583926e-05,6.233972440561479e-05,3.134884845190333e-05,0.0001476180779575616,0.00015352679411802247,5.5241049781516984e-05,8.239751282190167e-05,9.223874960053512e-05,8.988023549310231e-05,0.00015481000482100377,9.497484534976996e-05,5.145129653252336e-05,0.00017554268068815641,3.821311699103345e-05,4.697811609635698e-05,8.070602108703769e-06,4.3885442913272665e-05,7.388071852862534e-05,6.40170404664143e-05,8.323351955806706e-06,4.2010804374316096e-05,4.1143983235446494e-05,9.17893203766197e-05,2.9010389980915986e-06,7.451929813514977e-05,6.699820826885463e-05,4.012974623626735e-05,0.00021699819515529629,4.459674254335503e-06
0.6995515695067265,3.694702048304532e-05,0.0002274403295788766,0.00032190900650328066,0.00013191734172385766,8.250139237687729e-05,0.00010906226002263662,6.943658528670321e-05,0.00010274961814249158,3.305406530828313e-05,6.0842275952145294e-05,0.0001941540700152558,5.090973557741122e-05,8.625899947689713e-05,0.00012289121135559305,8.095261145671639e-06,9.898569860781091e-05,8.656261492861431e-05,0.00025268446217282625,3.987342581104228e-05,6.69688645280663e-05,3.095807776588193e-05,0.00011040639255342993,0.00022675551763003026,5.67401014832704e-05,3.225251814506177e-05,6.0586497539250073e-05,5.7810582347849905e-05,0.00018628541668743188,9.46358130501894e-05,3.147794089332528e-05,0.00012867280831508116,6.59652076811125e-05,2.6164358752107264e-05,7.845207631563901e-06,7.023859482000223e-05,8.217627797843555e-05,7.502225443806247e-05,8.016604150908913e-06,4.763907811937806e-05,3.237905123721098e-05,5.9793111754674716e-05,4.766782403119424e-06,6.724993956698214e-05,5.150989931745812e-05,4.400197655595909e-05,0.0002856029489648683,6.1135631387891434e-06
0.7533632286995516,4.956126738229614e-05,0.00023673980601064104,0.0002915158326814021,0.0001967199603307296,5.36732427911815e-05,9.505830404096269e-05,8.855734005246936e-05,9.609372026193765e-05,4.181776898785208e-05,0.00012119807467414333,0.00019899383791051981,8.836344545448488e-05,0.00012185874912490493,0.00012804645709452132,1.6278105086019895e-05,9.242458045739677e-05,9.110695169434036e-05,0.0002986671437929942,4.67076316096588e-05,4.99501175493588e-05,5.282927628346642e-05,0.0001229371117438828,0.00023580330149456174,5.451926843563105e-05,2.60721826342727e-05,0.00011999065591025902,0.00011484833566051606,0.00015126391954151322,9.311827847976206e-05,5.9488111709053503e-05,0.00013434186552841248,0.00010462448815551687,4.9884090482608296e-05,1.6623001833155223e-05,7.358272994601525e-05,5.82913824239766e-05,6.978523684389402e-05,1.705560881089681e-05,3.563564199852201e-05,3.293058855898639e-05,0.0001187137804935759,1.9454604606134425e-05,6.160804044018501e-05,4.3634913192036525e-05,3.2900756546716353e-05,0.0003156082768722229,2.3147727046585446e-05
0.8071748878923767,4.6465519080975736e-05,0.00017749742983161449,0.00014889069455154255,0.00014980529916376365,3.6894806034416806e-05,8.132312733902434e-05,0.0001883695277562816,0.0001362957976761422,6.484671612128254e-05,0.00017651368564477614,0.00026058959823637773,9.28076272502744e-05,0.0001208459642334595,9.10874919390171e-05,2.11589024582618e-05,4.91650414920119e-05,9.73301931808529e-05,0.00031836004064898137,6.195777616879818e-05,4.795213208910503e-05,0.00010514194909016216,0.0001339335442311047,0.0001767488417970514,1.6228894325593004e-05,0.00011544440385440063,0.00017294475332564502,0.0001670590360904232,0.0001262406962770934,0.0001293872710280861,9.862644484419894e-05,0.00016329471194186207,0.00012295650294860404,8.297592424525554e-05,2.0855246547866632e-05,5.333096910386666e-05,3.5004506899936575e-05,4.324125902135117e-05,2.0872290241531627e-05,3.204857800270246e-05,1.636506445793626e-05,0.00017193242941953974,2.9015479891002742e-05,6.107848409799255e-05,1.8495715148624562e-05,2.7700450386676785e-05,0.00037601468955316796,3.0334659103673452e-05
0.8609865470852018,0.00025005248917933393,0.00025840802850029876,0.00027791961596260856,0.0004578318999624772,0.0002703656530278987,0.0001807267170893176,0.0006015775652774158,0.0004031176735652898,0.00035982960188437495,0.0005609883255118423,0.0010057757727761788,0.00028492675912902534,0.00033055176733289205,0.00041118142553526175,0.0003162057798311443,0.0003004645808291265,0.00038143956413113256,0.00037489445112937774,0.0005433554865256245,0.00047664671105543345,0.0007289596986639945,0.0003422060030154132,0.00025783258730021513,0.00031899621798393976,0.0014370977936447966,0.0005577649424137439,0.0005530809775354334,0.0002545344922811591,0.0005886545920336395,0.00038305317562405074,0.0003714595503872019,0.0002936255490913895,0.00037313088746310496,0.00030981313839984696,0.0001811913419746532,0.0006234688609935718,0.000420784432615061,0.0003112414032739755,0.00041542388339385654,0.00031268140989538574,0.0005577275178379095,0.00027780112147917735,0.00059116344650352,0.0003191794750984225,0.00039608854490086315,0.00028684699241716564,0.0002858875987702949
0.914798206278027,0.0005520042896323564,0.0008292463868018966,0.0016060619911442006,0.00208928222942305,0.0019888313017275318,0.00033172342442865967,0.0008781875714499009,0.001058830398988641,0.002176586068211802,0.0021119883890021256,0.0037231291675294724,0.001823687472364353,0.0019967921433049225,0.002973024019599605,0.0024244362691393665,0.0022758827104129237,0.0011866206436204276,0.0005457658184942297,0.0025047645389695192,0.0022366999532768763,0.0020906285785874047,0.001786402807620957,0.000830333175513568,0.0025919924834290555,0.004528523520307132,0.00209984997393243,0.0021346258836107113,0.001162611170558269,0.002549917511378444,0.0017526945343273681,0.0014918304333468848,0.0018407559740059476,0.001794751839888285,0.0024187147143795704,0.00136849797485942,0.0017321697085753512,0.002663806441333735,0.002425369051478152,0.0021826087164401467,0.002476156633035751,0.0021012948484750425,0.002312653017185722,0.00293944584115893,0.0025851285864593562,0.002127452425364367,0.0008840866275348468,0.0022951295503187345
0.968609865470852,0.0011916863685081875,0.0017039518717811607,0.003371384850047229,0.003822227484269445,0.00464334693803163,0.0004006033171417863,0.0022505615160289903,0.003005440739061439,0.0051459683059617775,0.00399044531761864,0.00644960627287221,0.004533338707304216,0.004117130820515321,0.006327532175331214,0.005487762237827777,0.00468552887223986,0.003051884755415721,0.0006690179119252404,0.004273184745287751,0.004080103266055114,0.0037007678675234556,0.004305932952948097,0.0017034496138604292,0.005596401958980875,0.0063039616381874225,0.003963187283198669,0.004069174178874476,0.0024945880022990232,0.004941175598267366,0.0036299433937654934,0.0029860522005192023,0.004150354735375571,0.003706581079846914,0.005500896625765962,0.0031642928083288843,0.0027846746003795378,0.005579182183280861,0.0055178690812538065,0.004059037927687999,0.005424251522066832,0.003959980554001649,0.005324072128709126,0.005825516487269021,0.00585900661434518,0.00402082788672712,0.0018792322121619126,0.00528387174086509
1.0224215246636772,0.0012006538009855033,0.0021076786614229845,0.0038605682522718453,0.0041219083210723454,0.005242169598495972,0.00045380695013365286,0.002069480039525019,0.0034688883085229136,0.005758193652571284,0.004342973673723111,0.006350909882498897,0.005378231779920259,0.004371488746854065,0.006874111232418351,0.0062186017609133365,0.0050908823382581165,0.0032355368185397544,0.0005402018212342251,0.0042043906991025455,0.004223949385585034,0.0035431166545458756,0.005532205942333227,0.0021065396575102725,0.006065283937725985,0.005164494449265477,0.0043135559596373324,0.004456136646613878,0.0028133994707976355,0.005254536521198842,0.00403110665740069,0.003632855895787327,0.004624165577157026,0.0040841744192727,0.0062428392427601245,0.0039049037678154487,0.0025515686196717693,0.006111816263036914,0.006256349218468794,0.004211469067795567,0.005895359462193055,0.004304062874282389,0.0060233503510739046,0.0061742757407380585,0.006597032414621397,0.004198965861701215,0.002305959325286319,0.006025912807251733
1.0762331838565022,0.0008737164323647151,0.0015455834696406013,0.0026217900045359863,0.0026289824141318093,0.003519520773110341,0.00031930662317565024,0.001801728566579625,0.0028092638625131458,0.003957685025952285,0.0029291255690306866,0.003642687822312759,0.003920829108409016,0.0026668523514748427,0.00434541984494799,0.004145209530828739,0.0031417611740774108,0.002416360335123966,0.0003102885647988363,0.0022601251776060423,0.002495530920885812,0.002150978768231215,0.004240595668127896,0.0015445884543235457,0.003825394436814577,0.0021175415934456877,0.0029108510107890037,0.00302745687859907,0.0018866377508704529,0.0033075639568267284,0.0026648312726498553,0.0025788858483384684,0.0030459930533262053,0.0026638004940568107,0.004169012973833048,0.002820903926647711,0.0014430815493953596,0.003930187048323524,0.004174431657862118,0.002472144539681316,0.0037412644877750133,0.0028991650287718738,0.003998745677146027,0.0038250012009853162,0.004368272331975346,0.002493652150047564,0.0016809114505664296,0.004034580633365153
1.1300448430493275,0.000231064569669932,0.0006475621571866266,0.0008543351258562574,0.0009636337162091557,0.0008892639830223485,0.0003900604806843026,0.00033492891090943606,0.0008171676687559537,0.0009547008197166682,0.0010681852434953163,0.0008426566023924478,0.0012172907407877749,0.0005378327335055325,0.0010166036108661437,0.0010798308985701204,0.0007411641719781961,0.0005519713779876655,0.0001613484114753743,0.0004608708056723873,0.0006385173301138572,0.0005015186859940378,0.0016880298400811103,0.0006488396601969383,0.0008219425138650904,0.00023655856235296754,0.0010695991460248516,0.0011155062567812862,0.0005187801411015273,0.0008471998319675392,0.000747851455808041,0.0010583178069127823,0.0007278028312177429,0.0007184385969768661,0.00108564938850456,0.0010199353674704688,0.00038734416893165097,0.0010000845603474248,0.0010811618174017637,0.0005960930750163777,0.0007920309650047078,0.001064140476024538,0.0009804710390381051,0.0010604100040648102,0.0010906447109579115,0.0005968991127341437,0.0005574884641541897,0.001042077076584068
