frequency,2019T69,2019P146,2019P140,2019P124,2020P160,2019P125,2019P103,2020P225,2020P185,2019P158,2019P198,2019P148,2019P202
0.6457399103139014,0.0007274237537021898,9.766639951183323e-05,2.4417597392500597e-05,0.0004880547539418608,1.1669873805934218e-05,4.013476798012686e-05,0.00010177701487130175,0.0008017508040799322,6.472940111348136e-05,0.00017819713448372226,6.826778940878915e-05,3.4590549969020824e-05,0.0010155913972881008
0.6995515695067265,0.0008773223185142595,0.00014501014325571601,3.05410864259945e-05,0.0005014012064644448,2.3702353484103822e-05,5.196028231512783e-05,0.00010851968163571987,0.00036720908580623377,7.92265018911866e-05,0.00020920064485200943,5.60004471217748e-05,4.5503812437150894e-05,0.0010414144228159318
0.7533632286995516,0.0009258156043727702,0.00015778250823268128,1.608609024352925e-05,0.00032945228375438315,8.546853944965181e-05,9.504669564696862e-05,0.00012765541188354288,0.00023915020951082965,7.566195957656149e-05,0.0003073006542773365,4.020666172517397e-05,3.4903706692059154e-05,0.001084163311262031
0.8071748878923767,0.0009591944854729759,0.00010187185652098685,1.9589634543373597e-05,0.00014793371587437922,9.205325715483209e-05,0.00017729941679538885,0.00013974202977379884,0.0008566119789720263,4.6120086422115557e-05,0.0002529354835850244,3.15356199351208e-05,3.084158003696789e-05,0.0011757777773401773
0.8609865470852018,0.0009970337324389927,0.00018725954755422755,0.00013263747486659332,0.00016676130517686552,0.00013342021997043006,0.0002583428120871688,0.00024225653515852017,0.0012979902827332834,0.00024544927892897797,0.00023669994802070547,9.683891539072794e-05,0.0001130053658681808,0.0012594716861968034
0.914798206278027,0.0007858932853518165,0.0002923442772829279,0.00033085948012900375,0.00032895904020065664,0.00026824924527923087,0.00030341722961400766,0.0003211364687335612,0.00133476282367937,0.0005820256693063575,0.00017464918551637063,0.00027985557444683333,0.00031271915211070265,0.0010213400911599797
0.968609865470852,0.0004757464166664999,0.00033227894756979854,0.00040784152010988467,0.0005292395747223661,0.0004540537789628922,0.0002637243787727655,0.0002922500670039527,0.0008434670008122871,0.000620380126451405,0.00013159893887688864,0.0003710719069499672,0.0004102783088138612,0.0005940470444703067
1.0224215246636772,0.0001905492418584909,0.0003043329146421008,0.00034848963019126343,0.0005510963418517601,0.00042364450659953076,0.000186099771992302,0.00012750518345775914,0.0004694759494221988,0.00039372988964847685,8.542414060628328e-05,0.00030755910579327556,0.000329117984938343,0.0002688181028812469
1.0762331838565022,0.0003343118014304812,0.0003106695888675984,0.0001679817345059864,0.0004956253612139489,0.0002637869073500692,0.00013225071711744669,4.076189234569069e-05,0.0004940418292367186,0.00010124181928055731,0.00023238729700830697,0.00015127450400635343,0.00021356044736376215,0.0003691893162161745
1.1300448430493275,0.0003168001934737118,0.00028678956281503695,8.647583856398596e-05,0.0005131788628549513,0.00011751715943144071,9.003846628346886e-05,3.484766515156439e-05,0.0005176206726302138,0.00013694707217552654,0.0003496116465813331,0.0001511391551913737,0.0001430976293745535,0.0002860082011135095
1.1838565022421526,0.0002476900459638372,0.00017233555608550162,2.5205525099624254e-05,0.0006666016893689973,0.00011333203570316115,7.134651748545589e-05,4.721576257856579e-05,0.0007068499911946507,0.00019947838321040796,0.00032982070986981813,0.00022588271569532001,0.000196024772697957,0.0002304720772641679
1.2376681614349776,0.00030506821890611267,0.00020879960837515832,4.271049147410742e-06,0.000869891487430174,7.058187735477875e-05,2.7662689714505673e-05,6.946153476311429e-05,0.0012186852138147415,0.00019646003044990125,0.00020501296472197534,0.00021794695800450085,0.0001401845718653945,0.0002731091941707545
1.2914798206278029,0.0003129609032054026,0.0003470097982449586,3.283421196098833e-06,0.0007870753434612177,4.252314211457724e-05,2.9920047748113797e-05,0.00011542014965402668,0.0016001769821201114,0.00019300552504198027,0.0001796304549151806,0.00012697914335273966,0.00017268646452351966,0.00030886364106858796
