frequency,2019P144,2019T69,2019P151,2019P152,2019P146,2019P140,2019P124,2020P160,2019P125,2019P103,2020P219,2020P225,2020P185,2019P206,2019P158,2019P198,2019P148,2019P202
11.354260089686099,2.7284103220426777e-09,1.712375680177988e-08,2.599908127497696e-08,1.2384340606093968e-07,3.4242847803175455e-11,2.2606516309725486e-10,3.0003224993962134e-08,2.590208535051336e-08,3.0103889029088696e-09,2.066256996955963e-08,5.405357686801902e-08,1.4612719314293586e-07,7.180958620519135e-09,1.5884990708099738e-08,1.0105193124719777e-08,4.640497675764521e-09,1.5428418577632104e-10,6.630862869383218e-09
11.300448430493274,2.129286132075506e-09,1.6025158471286915e-08,5.622716236500559e-08,9.988556820292904e-08,8.896891548684442e-11,3.1077268761781775e-10,3.0973888899216385e-08,2.390136918438277e-08,3.4070368110739e-09,1.2816544257148094e-08,6.133675857165365e-08,7.50210527206388e-08,7.886429736002168e-09,1.3947804684196125e-08,1.0032245527517988e-08,8.83565210081436e-09,1.457544864729346e-10,9.69822412423785e-09
11.24663677130045,2.256010594909273e-09,1.3503309398906943e-08,5.502320185729749e-08,6.175063269649612e-08,7.65746793406585e-10,4.11045676252267e-10,5.176499851802126e-08,1.8995021671631137e-08,5.653061941278742e-09,4.541399270182863e-09,7.456217048983061e-08,3.090468797266482e-07,9.184469400553353e-09,9.348823538602294e-09,1.0274337061985803e-08,6.593796939142622e-09,1.1542586605335805e-10,9.647305984491198e-09
11.192825112107624,1.5436068184512773e-09,7.639019575578797e-09,4.7558703012370013e-08,6.371548952614774e-08,1.169558449356932e-09,4.3977332306908474e-10,3.349262376781329e-08,1.8136879558624486e-08,5.948743662771543e-09,4.698252047532586e-09,6.187737699403318e-08,6.090379108626515e-07,3.3275977654095477e-09,1.238946226087671e-08,8.553928113169452e-09,1.9684080530322787e-08,1.5542729809277462e-10,9.803232878394542e-09
11.1390134529148,3.6697172647941004e-09,2.8547839762939066e-08,1.7345289103563446e-08,7.15859543961823e-08,1.4401744304895285e-09,5.001311848888798e-10,3.3844094330302224e-08,1.2934755046342242e-08,6.4623759928759245e-09,5.37325272064236e-09,3.7417376951227566e-08,8.869417505151922e-07,2.406395491738607e-09,2.1355654376675226e-08,1.5226030970734446e-08,2.3962634454947438e-08,1.9461537658092288e-10,2.3585433244297148e-08
11.085201793721973,6.500777182352248e-09,3.7724945648191686e-08,2.7057177243891053e-08,5.279125219883081e-08,8.792164086915656e-10,3.889949290020049e-10,2.9551131151973857e-08,2.945611819899693e-08,6.209700773833149e-09,4.787503962890564e-09,1.1983045353354036e-08,9.12411063329797e-07,2.469834539461727e-09,4.8640154277496954e-08,1.8463876924598837e-08,2.4908931873890363e-08,2.6323378215281495e-10,2.6739378833219743e-08
11.031390134529149,1.3592709360140444e-08,3.895273586387108e-08,6.287113476262783e-08,7.402896104122545e-08,1.979758872905232e-09,3.9705904307706875e-10,6.063816612748109e-08,4.243623996311925e-08,7.803620117679495e-09,4.499062030860636e-09,5.547460723028524e-09,7.030709798763562e-07,7.33548356879135e-09,8.722730637041151e-08,2.3232493568042848e-08,1.2209650610560298e-08,2.566659980223331e-10,2.326605709679646e-08
10.977578475336323,2.458256889887332e-08,4.604501411861525e-08,6.412352283653335e-08,9.213546316734534e-08,1.9207860751701733e-09,3.0456591172817235e-10,9.324640043501571e-08,4.6462660564508345e-08,1.4868705776937177e-08,7.379332887064616e-09,7.468552556401785e-09,6.924816758179031e-07,2.3798882549376476e-08,1.0654673462474093e-07,5.575714369582635e-08,9.21365738785077e-09,8.255466879383e-10,5.79734188743662e-09
10.923766816143498,3.429778824998787e-08,5.728167571245088e-08,7.703650601184753e-08,1.5533597404034438e-07,3.3448487802326355e-09,6.888943116833235e-10,1.0315157814659163e-07,3.3455624554078156e-08,2.8983007186206526e-08,4.5717648461713315e-09,9.248182420311784e-09,8.499101715220813e-07,3.0668381785739644e-08,8.387976325188319e-08,2.0524897617808815e-07,3.3389504072526135e-08,7.528557016058715e-10,1.719720806681319e-08
10.869955156950674,6.800806183480667e-08,7.149356942408196e-08,7.304475610248701e-08,2.771009520125046e-07,2.5289053356076586e-09,1.828955069774011e-09,8.417050099380959e-08,2.5696094535351806e-08,3.748700519671158e-08,2.2407817482638585e-08,3.298648719651815e-08,1.07153978362707e-06,3.274735953037834e-08,5.3127019846084025e-08,3.3035177559862944e-07,4.7731383942465667e-08,1.130668982958254e-09,6.400957894510185e-08
