floe_id,datetime,x,y,latitude,longitude
9,2014-04-10 23:05:00,815979.2396100564,-1286823.9189327862,76.00187956211444,-12.621082844867553
9,2014-04-11 00:25:00,816455.994799792,-1288355.8554342175,75.98778385650351,-12.636775120178664
10,2014-04-10 00:00:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-10 01:20:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-11 23:50:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-12 01:05:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-12 22:55:00,668917.6173434274,-1379082.313833448,75.91977690798853,-19.12450608509161
10,2014-04-13 00:10:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-13 23:35:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-14 00:55:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-15 00:20:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-15 01:35:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-16 00:40:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-17 00:05:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
10,2014-04-17 01:25:00,668673.6512549538,-1378748.2298546894,75.92348023634281,-19.127262071479766
14,2014-04-10 00:00:00,902012.0223048327,-1954258.8327137546,70.3195336371873,-20.223737787543744
14,2014-04-10 01:20:00,902014.6836638338,-1955307.956562795,70.31097729472033,-20.235371992048425
14,2014-04-10 23:05:00,899415.430210325,-1970044.5239005736,70.20056181247189,-20.461133669167676
14,2014-04-11 00:25:00,899770.8743169399,-1969665.85428051,70.20232679487812,-20.44841728763688
15,2014-04-10 00:00:00,738963.7955742887,-655927.8672286618,80.89752764621713,3.4067164620893444
15,2014-04-10 01:20:00,740124.6235167206,-656149.6245954692,80.8882099145688,3.441748275575362
15,2014-04-10 23:05:00,746682.8648648649,-664372.8828828828,80.79312459848208,3.3384056625638063
